Ppvinst,NPV,CAPEX,OPEX,IRR,Empty1,Empty2,PBT
100000,176905932.95381248,57552000.0,1250000.0,33.612484802871066,,,3.495166558506381
125000,222716416.1922658,70356000.0,1562500.0,34.38059548133052,,,3.4075963005723833
150000,268526899.4307182,83160000.0,1875000.0,34.91169006797736,,,3.3495305673073936
175000,314255039.663379,95964000.0,2187500.0,35.293653416871294,,,3.3089602874320647
200000,355730915.55125016,108768000.0,2500000.0,35.258787888738865,,,3.312623328961833
225000,390722970.8133063,131287771.13586187,3005979.992574655,32.79274043667626,,,3.593634523965498
250000,420634268.5316622,157835445.1043469,3612318.02984255,30.1762478050021,,,3.947769204499008
275000,448069370.57712203,187192705.28583187,4281038.166160138,27.880239073985493,,,4.319647870284293
300000,474124441.4598438,217413449.43768913,4973552.72014424,26.067780284658237,,,4.664815484894177
325000,499005724.3381074,248944664.95960897,5698061.031786982,24.55726889496015,,,4.995838663270637
350000,522332652.4124046,282295596.7146843,6460680.90249785,23.227136219218636,,,5.326988584670647
375000,544727578.1218591,314868169.777912,7210534.428153321,22.182589664518872,,,5.617951711882123
400000,566225584.4372364,345005574.4235531,7926650.651510907,21.40695611877199,,,5.854366958098789
425000,585736963.6276379,375722340.8191611,8648086.91532398,20.684924649552492,,,6.092081851622777
450000,603890777.337105,407048492.72024167,9372583.650799694,20.01969445902092,,,6.327881591370742
475000,620788883.0269794,438721804.0351091,10105364.448066784,19.411202943775763,,,6.559211737113064
500000,636346577.4307168,471230784.8768938,10858194.945851767,18.835092774549757,,,6.793447592711615
525000,650163050.9388195,502316477.071679,11580457.781199466,18.332582691766632,,,7.011030665986139
550000,661724679.5969547,530803726.5336143,12247499.904612157,17.903192082538986,,,7.207633072348697
575000,670115084.588505,562111858.3971844,12975067.744107604,17.40993997172935,,,7.446685102131545
600000,676630900.9498317,594573986.6974192,13727669.319288328,16.91742113025181,,,7.700738308750628
625000,681872347.8116448,627345490.0668728,14487203.004891684,16.449884482389933,,,7.957450581583098
650000,685690351.9080839,659568087.7674954,15235008.715019241,16.014506822860987,,,8.211398515763754
675000,688333599.5732691,692931078.358926,16008634.23936684,15.58657831909711,,,8.476290345934943
700000,689927309.6865889,725864048.4850274,16772492.316859143,15.187537453974297,,,8.738189408232005
725000,690752156.604421,758902661.6274518,17539262.48306025,14.810424861904604,,,9.000073013895415
750000,690607950.0625383,791844972.3862656,18304852.0299712,14.45234684567569,,,9.262779887535173
775000,689443460.5154363,822793369.1619216,19023482.951956548,14.128575063712878,,,9.513064084937625
800000,686330778.060782,845151723.1939209,19555870.389937107,13.882865771330511,,,9.71167953898415
825000,678125352.9412675,858525557.3234046,19900045.6974144,13.670972454692443,,,9.889353577048647
850000,666912613.2238076,870366668.5941908,20212761.0408805,13.44467735710051,,,10.086012498122317
875000,653858011.1960446,881778222.8683368,20519507.886967156,13.206956785086277,,,10.300726695841487
900000,639966827.7085992,893133955.1694456,20819743.645003494,12.96569923162776,,,10.52766992781892
925000,625635229.5816307,904906330.9035401,21125266.563067786,12.721631864447168,,,10.767112988125955
950000,610991373.1472008,916346382.0466456,21421827.38819008,12.481777547808658,,,11.0127207994555
975000,596079985.49332,927946313.9583104,21720108.68186583,12.242840282846101,,,11.268226839571616
1000000,581043982.8709024,939348226.9611541,22013549.594689026,12.008678814195296,,,11.529840114484282
