Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
1,0.0,960891.6774350957,67543.2,1208832.29956094,951683.9979979354,76750.87943716021,47802.172183136114,52460794.712555364,445336989.2180872
2,0.0,963490.8258500322,135086.4,1205255.5680609345,1021826.3464128718,76750.87943716021,35030.648180719894,52460794.712555364,445336989.2180872
3,0.0,953281.1890481171,0.0,1176135.8199780537,876530.3096109569,76750.87943716021,39472.25,52460794.712555364,445336989.2180872
4,0.0,953238.8930648076,67543.2,1183759.8030047764,944031.2136276474,76750.87943716021,45472.25,52460794.712555364,445336989.2180872
5,0.0,956772.1750518436,75086.4,1178644.9455499449,955107.6956146833,76750.87943716021,41132.09436627225,52460794.712555364,445336989.2180872
6,0.0,942789.962804406,127543.2,1151976.5564999564,993582.2833672458,76750.87943716021,28081.58038675456,52460794.712555364,445336989.2180872
7,0.0,944803.0565511612,27543.2,1144427.2905505414,895595.377114001,76750.87943716021,36137.21109156806,52460794.712555364,445336989.2180872
8,0.0,949139.9628464634,107543.2,1169820.216007857,979932.2834093032,76750.87943716021,26030.648180719898,52460794.712555364,445336989.2180872
9,0.0,937691.3982915494,67543.2,1129079.920509205,928483.7188543892,76750.87943716021,21064.604229623965,52460794.712555364,445336989.2180872
10,0.0,956502.2706872696,67543.2,1172579.990848248,947294.5912501095,76750.87943716021,23802.172183136125,52460794.712555364,445336989.2180872
11,0.0,952608.7312873227,67543.2,1181010.890229933,943401.0518501624,76750.87943716021,26248.89072771204,52460794.712555364,445336989.2180872
12,0.0,949200.3625850471,67543.20000000001,1182587.199298559,939992.683147887,76750.87943716021,23427.361226054094,52460794.712555364,445336989.2180872
13,0.0,944680.1182442632,67543.2,1169659.096150631,935472.438807103,76750.87943716021,20918.968544575917,52460794.712555364,445336989.2180872
14,0.0,945711.8449909542,71996.79133948816,1160533.0273881247,935897.0394271353,81811.59690330687,25725.22331642243,52460794.712555364,445336989.2180872
15,0.0,962280.0402807926,67543.2,1189123.9935973568,953072.3608436324,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
16,0.0,961609.7222878122,67543.2,1197170.1143835823,952402.042850652,76750.87943716021,23802.172183136125,52460794.712555364,445336989.2180872
17,0.0,957093.0983228497,67543.2,1199435.1735295884,947885.4188856895,76750.87943716021,23802.172183136125,52460794.712555364,445336989.2180872
18,0.0,961182.9769762512,67543.2,1190960.0038121203,951975.297539091,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
19,0.0,964264.9918437882,67543.20000000001,1205136.9096023585,955057.312406628,76750.87943716021,20151.483117822427,52460794.712555364,445336989.2180872
20,0.0,968947.5076952918,67543.2,1242204.8560296642,959739.8282581315,76750.87943716021,26248.89072771204,52460794.712555364,445336989.2180872
21,0.0,954856.0168833461,67543.2,1193287.9311063434,945648.3374461859,76750.87943716021,25924.077816863875,52460794.712555364,445336989.2180872
22,0.0,949989.5047646384,67543.2,1183903.8072210476,940781.8253274781,76750.87943716021,26802.172183136125,52460794.712555364,445336989.2180872
23,0.0,960050.8584400436,67543.2,1191845.2576202117,950843.1790028834,76750.87943716021,24355.45363856021,52460794.712555364,445336989.2180872
24,0.0,958076.2755108248,67543.2,1189605.8722483318,948868.5960736645,76750.87943716021,20248.89072771204,52460794.712555364,445336989.2180872
