Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,Benefit,npv
1,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
2,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
3,0.0,0.0,53557.5263,0.0,53557.5263,0.0,139921.23662486672,57231472.607204266,474124441.4598438
4,0.0,0.0,53557.5263,0.0,53557.5263,0.0,82829.74712481344,57231472.607204266,474124441.4598438
5,0.0,0.0,53557.5263,0.0,53557.5263,0.0,25738.257624760154,57231472.607204266,474124441.4598438
6,0.0,0.0,14417.815352640799,0.0,14417.815352640799,0.0,10369.090848679998,57231472.607204266,474124441.4598438
7,0.0,857.8421999999999,0.0,857.8421999999999,857.8421999999999,0.0,10369.090848679998,57231472.607204266,474124441.4598438
8,0.0,48915.0,0.0,48915.0,48915.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
9,0.0,100922.8422,0.0,100922.8422,100000.0,922.8421999999973,11234.809116499997,57231472.607204266,474124441.4598438
10,0.0,137213.5263,0.0,137213.5263,100000.0,37213.526300000005,46144.818138530005,57231472.607204266,474124441.4598438
11,0.0,153557.5263,0.0,154272.7896,100000.0,53557.5263,96387.13356056,57231472.607204266,474124441.4598438
12,0.0,100000.0,0.0,162912.31590000002,100000.0,0.0,96387.13356056,57231472.607204266,474124441.4598438
13,0.0,141203.52600000007,0.0,161709.0,100000.0,41203.526000000056,135040.16130116006,57231472.607204266,474124441.4598438
14,0.0,144456.7896,0.0,144456.7896,100000.0,44456.78959999999,176745.07562492005,57231472.607204266,474124441.4598438
15,0.0,121605.0,0.0,121605.0,100000.0,21605.0,197012.72612492,57231472.607204266,474124441.4598438
16,0.0,83559.47369999999,0.0,83559.47369999999,83559.47369999999,0.0,197012.72612492,57231472.607204266,474124441.4598438
17,0.0,39805.1052,0.0,39805.1052,39805.1052,0.0,197012.72612492,57231472.607204266,474124441.4598438
18,0.0,3527.8422,0.0,3527.8422,3527.8422,0.0,197012.72612492,57231472.607204266,474124441.4598438
19,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
20,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
21,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
22,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
23,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
24,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
25,0.0,0.0,53557.5263,0.0,53557.5263,0.0,139921.23662486672,57231472.607204266,474124441.4598438
26,0.0,0.0,53557.5263,0.0,53557.5263,0.0,82829.74712481344,57231472.607204266,474124441.4598438
27,0.0,0.0,0.0,0.0,0.0,0.0,82829.74712481344,57231472.607204266,474124441.4598438
28,0.0,0.0,0.0,0.0,0.0,0.0,82829.74712481344,57231472.607204266,474124441.4598438
29,0.0,0.0,0.0,0.0,0.0,0.0,82829.74712481344,57231472.607204266,474124441.4598438
30,0.0,0.0,12080.183552640781,0.0,12080.183552640781,0.0,69952.45946609818,57231472.607204266,474124441.4598438
31,0.0,765.1578,0.0,765.1578,765.1578,0.0,69952.45946609818,57231472.607204266,474124441.4598438
32,0.0,47796.15779999999,52203.84220000001,47796.15779999999,100000.0,0.0,14303.976148754615,57231472.607204266,474124441.4598438
33,0.0,96308.6841,3691.3159000000014,96308.6841,100000.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
34,0.0,133894.7367,0.0,133894.7367,100000.0,33894.73670000001,42165.74334695001,57231472.607204266,474124441.4598438
35,0.0,153557.5263,0.0,157834.4211,100000.0,53557.5263,92408.05876898,57231472.607204266,474124441.4598438
36,0.0,147650.47370000003,0.0,163853.05260000002,100000.0,47650.47370000003,137108.96814695004,57231472.607204266,474124441.4598438
37,0.0,100000.0,0.0,161419.7367,100000.0,0.0,137108.96814695004,57231472.607204266,474124441.4598438
38,0.0,144471.0,0.0,144471.0,100000.0,44471.0,178827.21324695004,57231472.607204266,474124441.4598438
39,0.0,119385.4737,0.0,119385.4737,100000.0,19385.473700000002,197012.72612492,57231472.607204266,474124441.4598438
40,0.0,85195.7367,0.0,85195.7367,85195.7367,0.0,197012.72612492,57231472.607204266,474124441.4598438
41,0.0,41647.8948,0.0,41647.8948,41647.8948,0.0,197012.72612492,57231472.607204266,474124441.4598438
42,0.0,3753.9474,0.0,3753.9474,3753.9474,0.0,197012.72612492,57231472.607204266,474124441.4598438
43,0.0,0.0,14417.815352640784,0.0,14417.815352640784,0.0,181643.55934883986,57231472.607204266,474124441.4598438
44,0.0,0.0,53557.5263,0.0,53557.5263,0.0,124552.06984878657,57231472.607204266,474124441.4598438
45,0.0,0.0,53557.5263,0.0,53557.5263,0.0,67460.58034873329,57231472.607204266,474124441.4598438
46,0.0,0.0,53557.5263,0.0,53557.5263,0.0,10369.090848679998,57231472.607204266,474124441.4598438
47,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
48,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
49,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
50,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
51,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
52,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
53,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
54,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
55,0.0,811.1052,0.0,811.1052,811.1052,0.0,10369.090848679998,57231472.607204266,474124441.4598438
56,0.0,47238.0,0.0,47238.0,47238.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
57,0.0,96043.4211,0.0,96043.4211,96043.4211,0.0,10369.090848679998,57231472.607204266,474124441.4598438
58,0.0,134521.4211,0.0,134521.4211,100000.0,34521.42110000001,42753.63598259001,57231472.607204266,474124441.4598438
59,0.0,153557.5263,0.0,156634.4211,100000.0,53557.5263,92995.95140462,57231472.607204266,474124441.4598438
60,0.0,150837.42080000005,0.0,156435.1578,100000.0,50837.42080000005,140686.53585710004,57231472.607204266,474124441.4598438
61,0.0,100000.0,0.0,155347.4211,100000.0,0.0,140686.53585710004,57231472.607204266,474124441.4598438
62,0.0,140743.2633,0.0,140743.2633,100000.0,40743.26329999999,178907.79115883005,57231472.607204266,474124441.4598438
63,0.0,119299.5789,0.0,119299.5789,100000.0,19299.578899999993,197012.72612492,57231472.607204266,474124441.4598438
64,0.0,80987.0526,0.0,80987.0526,80987.0526,0.0,197012.72612492,57231472.607204266,474124441.4598438
65,0.0,36608.3685,0.0,36608.3685,36608.3685,0.0,197012.72612492,57231472.607204266,474124441.4598438
66,0.0,3719.2104000000004,0.0,3719.2104000000004,3719.2104000000004,0.0,197012.72612492,57231472.607204266,474124441.4598438
67,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
68,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
69,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
70,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
71,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
72,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
73,0.0,0.0,0.0,0.0,0.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
74,0.0,0.0,53557.5263,0.0,53557.5263,0.0,139921.23662486672,57231472.607204266,474124441.4598438
75,0.0,0.0,53557.5263,0.0,53557.5263,0.0,82829.74712481342,57231472.607204266,474124441.4598438
76,0.0,0.0,0.0,0.0,0.0,0.0,82829.74712481342,57231472.607204266,474124441.4598438
